date,artist,track title,album title,reason_start,reason_end,skipped,seconds played
2023-01-01,Woodlock,We Gotta Go,We Gotta Go,appload,trackdone,False,264.0
2023-01-01,SLANDER,Halfway Down (with Ashley Drake),Thrive,trackdone,trackdone,False,310.0
2023-01-01,Ryan Nevis,it wasn't all just a dream,it wasn't all just a dream,trackdone,trackdone,False,217.0
2023-01-01,Said The Sky,On My Own,On My Own - REAPER Remix,trackdone,trackdone,False,331.0
2023-01-01,Taska Black,Double Take,Double Take,trackdone,fwdbtn,True,4.0
2023-01-01,Tritonal,Anchor,Metamorphic III,fwdbtn,endplay,True,5.0
2023-01-01,Morgan Wallen,If I Know Me,If I Know Me,playbtn,fwdbtn,True,119.0
2023-01-01,Spencer Crandall,Things I Can't Say (feat. Julia Cole),Wilderness,fwdbtn,fwdbtn,True,34.0
2023-01-01,ERNEST,Hard Way,Locals Only,fwdbtn,fwdbtn,True,3.0
2023-01-01,Hunter Hayes,Missing You,Missing You,fwdbtn,fwdbtn,True,2.0
2023-01-01,Matt Schuster,Know Ya,Know Ya,fwdbtn,fwdbtn,True,14.0
2023-01-01,Ryan Hurd,"June, July, August",Pelago,fwdbtn,fwdbtn,True,2.0
2023-01-01,CHASE WRIGHT,Hurt No More,Hurt No More,fwdbtn,fwdbtn,True,4.0
2023-01-01,Dylan Schneider,Right Girl,Right Girl,fwdbtn,trackdone,False,169.0
2023-01-01,Morgan Wallen,This Bar,Dangerous: The Double Album,trackdone,fwdbtn,True,11.0
2023-01-01,Conner Smith,Take It Slow,Take It Slow,fwdbtn,trackdone,False,163.0
2023-01-01,Matt Schuster,Who Are You Kidding?,Who Are You Kidding?,trackdone,trackdone,False,208.0
2023-01-01,Ryan Hurd,Platonic,Pelago,trackdone,trackdone,False,152.0
2023-01-01,Adam Doleac,Meet Me in the City,Meet Me in the City,trackdone,fwdbtn,True,6.0
2023-01-01,Zach Bryan,Heading South,Heading South,fwdbtn,trackdone,False,172.0
2023-01-01,Jordan Davis,Lose You,Buy Dirt,trackdone,trackdone,False,203.0
2023-01-01,Kyle Clark,Hope It's Hot Out,Hope It's Hot Out,trackdone,trackdone,False,167.0
